iter	Passed	Remaining
399	43997	120992
400	44107	120882
401	44218	120776
402	44325	120657
403	44461	120618
404	44572	120509
405	44679	120393
406	44783	120266
407	44898	120169
408	45022	120096
409	45132	119987
410	45269	119947
411	45384	119850
412	45491	119731
413	45597	119611
414	45705	119494
415	45823	119404
416	45936	119303
417	46051	119204
418	46185	119155
419	46290	119031
420	46399	118918
421	46509	118809
422	46622	118706
423	46733	118597
424	46846	118495
425	46963	118400
426	47082	118311
427	47198	118216
428	47308	118106
429	47419	117997
430	47538	117907
431	47660	117826
432	47792	117769
433	47905	117665
434	48022	117571
435	48133	117462
436	48247	117362
437	48370	117281
438	48494	117204
439	48610	117105
440	48734	117029
441	48853	116939
442	48967	116837
443	49087	116748
444	49194	116628
445	49307	116524
446	49419	116416
447	49545	116342
448	49673	116274
449	49782	116160
450	49904	116075
451	50018	115971
452	50121	115844
453	50231	115730
454	50338	115612
455	50451	115508
456	50574	115424
457	50694	115336
458	50814	115245
459	50927	115140
460	51037	115029
461	51141	114902
462	51251	114790
463	51358	114671
464	51458	114536
465	51565	114417
466	51686	114329
467	51798	114223
468	51906	114106
469	52019	114000
470	52137	113904
471	52244	113787
472	52359	113686
473	52469	113574
474	52585	113474
475	52703	113379
476	52835	113314
477	52946	113204
478	53059	113097
479	53173	112993
480	53284	112884
481	53396	112774
482	53501	112651
483	53605	112526
484	53716	112416
485	53828	112309
486	53936	112193
487	54035	112057
488	54138	111931
489	54241	111803
490	54350	111688
491	54457	111571
492	54565	111456
493	54680	111354
494	54794	111249
495	54903	111135
496	55016	111028
497	55149	110963
498	55260	110853
499	55368	110737
500	55472	110612
501	55588	110512
502	55707	110417
503	55824	110319
504	55936	110211
505	56049	110104
506	56155	109984
507	56263	109869
508	56374	109759
509	56488	109655
510	56576	109499
511	56658	109334
512	56745	109176
513	56825	109008
514	56913	108854
515	57017	108731
516	57127	108619
517	57256	108544
518	57375	108449
519	57484	108337
520	57598	108232
521	57710	108124
522	57824	108019
523	57944	107927
524	58074	107853
525	58185	107742
526	58282	107607
527	58384	107479
528	58495	107370
529	58607	107262
530	58736	107185
531	58841	107065
532	58957	106963
533	59078	106871
534	59182	106750
535	59290	106634
536	59405	106531
537	59513	106415
538	59629	106314
539	59746	106215
540	59858	106107
541	59972	106003
542	60076	105880
543	60191	105778
544	60299	105662
545	60415	105561
546	60523	105446
547	60625	105320
548	60742	105220
549	60854	105112
550	60966	105003
551	61071	104882
552	61180	104770
553	61290	104659
554	61400	104546
555	61504	104425
556	61627	104334
557	61738	104225
558	61853	104122
559	61962	104008
560	62070	103893
561	62177	103776
562	62286	103663
563	62398	103555
564	62522	103465
565	62640	103368
566	62752	103258
567	62865	103152
568	62977	103044
569	63086	102931
570	63200	102825
571	63311	102715
572	63421	102603
573	63530	102490
574	63653	102398
575	63773	102303
576	63884	102193
577	63996	102084
578	64103	101968
579	64213	101855
580	64321	101741
581	64428	101624
582	64563	101552
583	64675	101442
584	64793	101344
585	64905	101235
586	65010	101114
587	65126	101012
588	65228	100887
589	65360	100810
590	65470	100698
591	65581	100587
592	65696	100484
593	65808	100374
594	65921	100267
595	66028	100151
596	66158	100068
597	66270	99960
598	66380	99848
599	66492	99739
600	66605	99631
601	66713	99515
602	66824	99406
603	66959	99330
604	67070	99219
605	67181	99109
606	67288	98992
607	67400	98884
608	67512	98774
609	67623	98663
610	67729	98545
611	67872	98481
612	67998	98392
613	68107	98279
614	68213	98160
615	68321	98045
616	68437	97942
617	68582	97879
618	68693	97769
619	68804	97657
620	68914	97546
621	69022	97430
622	69136	97323
623	69240	97202
624	69355	97098
625	69482	97009
626	69594	96899
627	69711	96796
628	69825	96690
629	69947	96593
630	70057	96481
631	70175	96380
632	70308	96298
633	70413	96180
634	70524	96069
635	70632	95953
636	70748	95848
637	70856	95733
638	70957	95608
639	71096	95536
640	71203	95419
641	71312	95304
642	71422	95193
643	71537	95087
644	71647	94974
645	71755	94859
646	71883	94770
647	71998	94664
648	72111	94555
649	72229	94453
650	72347	94352
651	72457	94239
652	72570	94130
653	72683	94021
654	72808	93928
655	72910	93806
656	73021	93693
657	73127	93576
658	73226	93450
659	73352	93357
660	73461	93244
661	73585	93148
662	73688	93027
663	73803	92921
664	73914	92810
665	74032	92707
666	74140	92592
667	74249	92478
668	74392	92406
669	74517	92312
670	74627	92199
671	74734	92083
672	74846	91973
673	74949	91852
674	75059	91738
675	75184	91645
676	75299	91538
677	75398	91412
678	75506	91297
679	75612	91180
680	75731	91077
681	75847	90972
682	75957	90859
683	76086	90770
684	76189	90648
685	76302	90539
686	76423	90440
687	76535	90329
688	76647	90219
689	76763	90113
690	76873	90001
691	76981	89885
692	77085	89765
693	77196	89654
694	77321	89559
695	77430	89445
696	77538	89330
697	77661	89232
698	77773	89122
699	77893	89020
700	78003	88907
701	78113	88795
702	78224	88683
703	78333	88570
704	78457	88473
705	78589	88384
706	78703	88277
707	78813	88164
708	78927	88055
709	79036	87941
710	79146	87829
711	79248	87708
712	79354	87589
713	79473	87487
714	79589	87381
715	79701	87271
716	79813	87160
717	79933	87058
718	80036	86937
719	80151	86831
720	80261	86717
721	80378	86612
722	80495	86507
723	80610	86399
724	80733	86300
725	80857	86202
726	80966	86089
727	81076	85977
728	81197	85875
729	81301	85755
730	81408	85640
731	81520	85529
732	81626	85413
733	81733	85297
734	81865	85207
735	81982	85101
736	82093	84989
737	82210	84884
738	82322	84772
739	82434	84662
740	82548	84554
741	82660	84443
742	82771	84331
743	82879	84216
744	82993	84107
745	83113	84005
746	83239	83908
747	83352	83798
748	83463	83686
749	83574	83574
750	83679	83456
751	83786	83340
752	83897	83228
753	84004	83113
754	84121	83007
755	84232	82895
756	84346	82786
757	84454	82671
758	84563	82557
759	84671	82443
760	84787	82336
761	84897	82223
762	85009	82112
763	85124	82005
764	85242	81899
765	85354	81788
766	85468	81680
767	85579	81567
768	85688	81454
769	85811	81354
770	85924	81244
771	86037	81134
772	86154	81027
773	86272	80921
774	86378	80805
775	86480	80685
776	86591	80573
777	86708	80467
778	86826	80362
779	86951	80262
780	87056	80145
781	87167	80033
782	87272	79915
783	87390	79810
784	87511	79707
785	87622	79596
786	87733	79483
787	87842	79370
788	87961	79265
789	88071	79152
790	88180	79039
791	88293	78929
792	88405	78817
793	88523	78712
794	88639	78604
795	88755	78497
796	88859	78379
797	88968	78265
798	89080	78154
799	89190	78041
800	89311	77938
801	89417	77822
802	89540	77720
803	89654	77611
804	89762	77496
805	89873	77384
806	89986	77274
807	90098	77163
808	90208	77050
809	90317	76937
810	90433	76829
811	90538	76712
812	90646	76598
813	90758	76486
814	90866	76372
815	90969	76254
816	91086	76147
817	91202	76039
818	91333	75943
819	91442	75830
820	91555	75720
821	91664	75606
822	91777	75496
823	91892	75387
824	92000	75272
825	92106	75157
826	92217	75044
827	92330	74934
828	92441	74823
829	92566	74722
830	92677	74610
831	92786	74497
832	92901	74388
833	93015	74278
834	93126	74166
835	93238	74055
836	93344	73939
837	93472	73840
838	93584	73729
839	93704	73624
840	93813	73511
841	93931	73404
842	94039	73290
843	94152	73180
844	94277	73078
845	94384	72964
846	94492	72849
847	94599	72734
848	94707	72620
849	94821	72510
850	94941	72405
851	95056	72296
852	95177	72192
853	95288	72079
854	95406	71973
855	95516	71860
856	95632	71752
857	95752	71646
858	95862	71534
859	95975	71423
860	96088	71312
861	96196	71199
862	96305	71085
863	96414	70971
864	96526	70860
865	96640	70750
866	96754	70640
867	96860	70524
868	96971	70412
869	97080	70299
870	97187	70184
871	97297	70072
872	97406	69958
873	97511	69842
874	97620	69728
875	97727	69614
876	97840	69503
877	97961	69398
878	98102	69307
879	98219	69200
880	98323	69083
881	98434	68970
882	98542	68856
883	98655	68746
884	98766	68634
885	98875	68521
886	98977	68402
887	99092	68293
888	99224	68195
889	99321	68074
890	99441	67968
891	99550	67854
892	99661	67742
893	99785	67640
894	99916	67541
895	100030	67431
896	100138	67317
897	100248	67204
898	100358	67091
899	100470	66980
900	100581	66868
901	100696	66758
902	100823	66657
903	100937	66547
904	101049	66436
905	101165	66326
906	101276	66214
907	101401	66111
908	101511	65999
909	101637	65897
910	101744	65782
911	101855	65670
912	101965	65557
913	102079	65447
914	102196	65338
915	102316	65232
916	102463	65143
917	102571	65028
918	102675	64912
919	102779	64796
920	102892	64684
921	103003	64572
922	103113	64460
923	103244	64360
924	103351	64245
925	103462	64133
926	103580	64025
927	103695	63915
928	103803	63801
929	103917	63691
930	104030	63580
931	104147	63471
932	104257	63359
933	104365	63244
934	104471	63129
935	104584	63018
936	104698	62908
937	104808	62795
938	104939	62695
939	105051	62583
940	105164	62472
941	105275	62360
942	105382	62246
943	105490	62132
944	105602	62020
945	105736	61921
946	105840	61805
947	105947	61690
948	106067	61584
949	106180	61473
950	106295	61363
951	106417	61257
952	106535	61148
953	106657	61042
954	106768	60930
955	106882	60820
956	106996	60709
957	107104	60595
958	107222	60487
959	107362	60391
960	107477	60281
961	107592	60171
962	107698	60056
963	107832	59956
964	107943	59844
965	108055	59732
966	108198	59637
967	108316	59529
968	108435	59421
969	108553	59312
970	108657	59196
971	108773	59086
972	108890	58977
973	109006	58867
974	109120	58757
975	109237	58648
976	109357	58540
977	109462	58424
978	109588	58320
979	109699	58208
980	109812	58096
981	109924	57984
982	110027	57868
983	110142	57757
984	110247	57642
985	110357	57529
986	110468	57416
987	110576	57302
988	110690	57192
989	110806	57081
990	110922	56972
991	111042	56864
992	111146	56748
993	111263	56638
994	111371	56525
995	111487	56415
996	111595	56301
997	111735	56203
998	111850	56093
999	111969	55984
1000	112075	55870
1001	112191	55759
1002	112297	55644
1003	112408	55532
1004	112511	55416
1005	112617	55301
1006	112739	55194
1007	112856	55084
1008	112972	54974
1009	113087	54864
1010	113201	54753
1011	113307	54638
1012	113420	54527
1013	113524	54411
1014	113626	54294
1015	113734	54180
1016	113824	54058
1017	113933	53944
1018	114048	53834
1019	114159	53722
1020	114274	53611
1021	114381	53497
1022	114489	53383
1023	114599	53270
1024	114708	53157
1025	114812	53041
1026	114913	52925
1027	115027	52814
1028	115141	52703
1029	115255	52592
1030	115355	52474
1031	115459	52359
1032	115570	52247
1033	115685	52136
1034	115793	52023
1035	115910	51913
1036	116045	51811
1037	116153	51698
1038	116265	51586
1039	116373	51472
1040	116481	51359
1041	116593	51247
1042	116697	51132
1043	116806	51019
1044	116923	50909
1045	117048	50802
1046	117157	50689
1047	117277	50581
1048	117390	50470
1049	117513	50363
1050	117625	50251
1051	117740	50140
1052	117855	50029
1053	117961	49915
1054	118079	49805
1055	118189	49693
1056	118299	49580
1057	118404	49465
1058	118509	49350
1059	118627	49241
1060	118750	49134
1061	118862	49022
1062	118969	48908
1063	119075	48794
1064	119183	48680
1065	119290	48566
1066	119403	48455
1067	119534	48350
1068	119648	48240
1069	119764	48129
1070	119874	48017
1071	119981	47902
1072	120094	47791
1073	120206	47679
1074	120340	47576
1075	120447	47462
1076	120562	47351
1077	120679	47242
1078	120792	47130
1079	120922	47025
1080	121035	46913
1081	121145	46800
1082	121254	46688
1083	121360	46573
1084	121471	46461
1085	121581	46348
1086	121691	46236
1087	121808	46126
1088	121927	46016
1089	122035	45903
1090	122149	45792
1091	122269	45683
1092	122386	45572
1093	122497	45460
1094	122608	45348
1095	122743	45244
1096	122867	45137
1097	122994	45030
1098	123107	44919
1099	123218	44806
1100	123325	44692
1101	123433	44579
1102	123554	44470
1103	123669	44359
1104	123779	44246
1105	123891	44134
1106	124016	44027
1107	124135	43917
1108	124244	43804
1109	124351	43691
1110	124455	43576
1111	124568	43464
1112	124681	43352
1113	124798	43242
1114	124908	43129
1115	125028	43020
1116	125139	42908
1117	125260	42799
1118	125370	42686
1119	125470	42570
1120	125578	42456
1121	125688	42344
1122	125794	42230
1123	125906	42118
1124	126015	42005
1125	126127	41893
1126	126247	41783
1127	126357	41671
1128	126489	41565
1129	126608	41455
1130	126724	41345
1131	126837	41233
1132	126941	41118
1133	127066	41010
1134	127175	40897
1135	127287	40785
1136	127401	40674
1137	127508	40560
1138	127626	40450
1139	127747	40341
1140	127854	40227
1141	127957	40112
1142	128075	40002
1143	128193	39892
1144	128298	39778
1145	128408	39665
1146	128515	39551
1147	128626	39439
1148	128733	39325
1149	128836	39211
1150	128939	39096
1151	129040	38980
1152	129141	38865
1153	129240	38749
1154	129343	38634
1155	129447	38520
1156	129552	38406
1157	129645	38289
1158	129762	38178
1159	129866	38064
1160	129968	37949
1161	130066	37833
1162	130166	37718
1163	130269	37603
1164	130399	37496
1165	130500	37381
1166	130609	37268
1167	130711	37154
1168	130808	37038
1169	130912	36924
1170	131013	36809
1171	131114	36694
1172	131215	36579
1173	131315	36464
1174	131416	36349
1175	131511	36232
1176	131595	36113
1177	131674	35992
1178	131769	35876
1179	131880	35764
1180	131980	35649
1181	132089	35536
1182	132196	35423
1183	132315	35313
1184	132441	35206
1185	132562	35096
1186	132695	34990
1187	132813	34880
1188	132960	34777
1189	133070	34665
1190	133187	34554
1191	133304	34444
1192	133409	34330
1193	133550	34226
1194	133658	34113
1195	133776	34003
1196	133891	33892
1197	134010	33782
1198	134123	33670
1199	134235	33558
1200	134366	33451
1201	134473	33338
1202	134585	33226
1203	134702	33116
1204	134819	33005
1205	134934	32894
1206	135041	32781
1207	135153	32669
1208	135274	32559
1209	135391	32449
1210	135495	32335
1211	135605	32223
1212	135727	32113
1213	135847	32003
1214	135953	31890
1215	136065	31778
1216	136176	31666
1217	136299	31556
1218	136414	31445
1219	136527	31334
1220	136648	31224
1221	136762	31112
1222	136867	30999
1223	136975	30886
1224	137078	30772
1225	137190	30660
1226	137305	30549
1227	137417	30437
1228	137521	30324
1229	137653	30216
1230	137766	30104
1231	137879	29993
1232	137985	29879
1233	138110	29770
1234	138229	29660
1235	138347	29550
1236	138467	29439
1237	138573	29326
1238	138683	29214
1239	138790	29101
1240	138896	28988
1241	139009	28876
1242	139113	28762
1243	139226	28651
1244	139326	28536
1245	139445	28426
1246	139553	28313
1247	139675	28203
1248	139793	28092
1249	139905	27981
1250	140015	27868
1251	140117	27754
1252	140233	27643
1253	140348	27532
1254	140455	27419
1255	140565	27307
1256	140676	27195
1257	140792	27084
1258	140906	26972
1259	141027	26862
1260	141133	26749
1261	141248	26637
1262	141364	26526
1263	141496	26418
1264	141603	26305
1265	141719	26194
1266	141836	26083
1267	141950	25972
1268	142079	25863
1269	142187	25750
1270	142301	25638
1271	142407	25525
1272	142517	25413
1273	142637	25302
1274	142753	25191
1275	142868	25080
1276	142973	24967
1277	143076	24853
1278	143177	24739
1279	143290	24627
1280	143398	24515
1281	143511	24403
1282	143634	24293
1283	143747	24181
1284	143860	24070
1285	143983	23959
1286	144094	23847
1287	144198	23734
1288	144311	23622
1289	144442	23513
1290	144562	23403
1291	144681	23292
1292	144795	23180
1293	144905	23068
1294	145010	22955
1295	145124	22843
1296	145232	22731
1297	145378	22624
1298	145497	22513
1299	145624	22403
1300	145724	22289
1301	145821	22175
1302	145929	22062
1303	146021	21948
1304	146123	21834
1305	146221	21720
1306	146312	21605
1307	146404	21490
1308	146501	21376
1309	146603	21263
1310	146694	21148
1311	146803	21035
1312	146901	20922
1313	146982	20805
1314	147073	20691
1315	147162	20575
1316	147253	20461
1317	147339	20345
1318	147435	20231
1319	147537	20118
1320	147632	20004
1321	147734	19891
1322	147834	19778
1323	147923	19663
1324	148011	19548
1325	148095	19433
1326	148190	19319
1327	148287	19205
1328	148380	19091
1329	148469	18977
1330	148564	18863
1331	148657	18749
1332	148742	18634
1333	148829	18520
1334	148940	18408
1335	149056	18297
1336	149177	18186
1337	149319	18079
1338	149430	17967
1339	149539	17855
1340	149661	17745
1341	149793	17635
1342	149899	17523
1343	150020	17413
1344	150137	17302
1345	150247	17190
1346	150357	17078
1347	150470	16966
1348	150590	16856
1349	150709	16745
1350	150820	16633
1351	150929	16521
1352	151047	16410
1353	151157	16299
1354	151264	16186
1355	151368	16074
1356	151483	15963
1357	151592	15851
1358	151702	15739
1359	151810	15627
1360	151923	15516
1361	152034	15404
1362	152150	15293
1363	152260	15181
1364	152369	15069
1365	152478	14957
1366	152605	14847
1367	152723	14736
1368	152830	14624
1369	152938	14512
1370	153051	14400
1371	153188	14291
1372	153302	14180
1373	153411	14068
1374	153522	13956
1375	153632	13844
1376	153736	13732
1377	153833	13619
1378	153946	13508
1379	154058	13396
1380	154165	13284
1381	154283	13173
1382	154393	13061
1383	154517	12950
1384	154631	12839
1385	154759	12729
1386	154870	12617
1387	154974	12505
1388	155084	12393
1389	155194	12281
1390	155302	12169
1391	155403	12057
1392	155516	11945
1393	155631	11834
1394	155736	11722
1395	155847	11610
1396	155967	11499
1397	156081	11387
1398	156193	11276
1399	156306	11164
1400	156447	11055
1401	156565	10943
1402	156681	10832
1403	156797	10721
1404	156919	10610
1405	157069	10501
1406	157183	10389
1407	157304	10278
1408	157425	10167
1409	157535	10055
1410	157646	9943
1411	157761	9832
1412	157875	9720
1413	157988	9608
1414	158102	9497
1415	158219	9385
1416	158327	9273
1417	158435	9162
1418	158552	9050
1419	158667	8938
1420	158778	8827
1421	158892	8715
1422	159010	8604
1423	159143	8493
1424	159253	8381
1425	159362	8269
1426	159472	8158
1427	159584	8046
1428	159696	7934
1429	159815	7823
1430	159930	7711
1431	160038	7599
1432	160154	7488
1433	160265	7376
1434	160382	7264
1435	160489	7152
1436	160607	7041
1437	160720	6929
1438	160834	6817
1439	160963	6706
1440	161077	6595
1441	161189	6483
1442	161297	6371
1443	161409	6259
1444	161520	6147
1445	161633	6036
1446	161752	5924
1447	161861	5812
1448	161972	5700
1449	162087	5589
1450	162202	5477
1451	162327	5366
1452	162439	5254
1453	162560	5142
1454	162674	5031
1455	162782	4919
1456	162887	4807
1457	162996	4695
1458	163102	4583
1459	163218	4471
1460	163330	4359
1461	163458	4248
1462	163563	4136
1463	163693	4025
1464	163806	3913
1465	163930	3801
1466	164040	3690
1467	164149	3578
1468	164280	3466
1469	164389	3354
1470	164488	3242
1471	164588	3130
1472	164730	3019
1473	164839	2907
1474	164952	2795
1475	165066	2684
1476	165181	2572
1477	165300	2460
1478	165420	2348
1479	165535	2236
1480	165647	2125
1481	165756	2013
1482	165863	1901
1483	165978	1789
1484	166089	1677
1485	166202	1565
1486	166307	1453
1487	166420	1342
1488	166527	1230
1489	166633	1118
1490	166747	1006
1491	166855	894
1492	166975	782
1493	167098	671
1494	167219	559
1495	167333	447
1496	167449	335
1497	167566	223
1498	167687	111
1499	167800	0
