iter	Logloss
0	0.6881246533
1	0.6831465238
2	0.6788686875
3	0.6748572715
4	0.6709809664
5	0.6675343521
6	0.66447088
7	0.6614449179
8	0.6587209604
9	0.6563411861
10	0.6540143836
11	0.6518413298
12	0.6499665307
13	0.6480460998
14	0.6462675128
15	0.6453345779
16	0.6438569268
17	0.6419139681
18	0.640254249
19	0.6386288539
20	0.6367670699
21	0.634667338
22	0.633022557
23	0.6314536803
24	0.6298524233
25	0.6288270669
26	0.627570602
27	0.6263836319
28	0.6251869312
29	0.6241161305
30	0.6232846457
31	0.6224683937
32	0.6214167508
33	0.6206886701
34	0.6201884449
35	0.6193774445
36	0.618740909
37	0.6182013421
38	0.6177020586
39	0.6171878756
40	0.6166549197
41	0.616297852
42	0.615757346
43	0.6150909723
44	0.6145471213
45	0.6138833401
46	0.613522025
47	0.6132207868
48	0.6127968087
49	0.612363701
50	0.6119400168
51	0.6114879533
52	0.611120134
53	0.6108218305
54	0.6104502115
55	0.6101565564
56	0.6099095023
57	0.6095709106
58	0.6093069497
59	0.608979988
60	0.6087164025
61	0.6085010895
62	0.608261616
63	0.6080238144
64	0.6078269622
65	0.6076208419
66	0.6074003812
67	0.6070554223
68	0.6067171187
69	0.6065171024
70	0.6062642887
71	0.6060416781
72	0.6059532541
73	0.6057418678
74	0.6055371453
75	0.6052648498
76	0.605115708
77	0.6048970572
78	0.6047137862
79	0.6045821356
80	0.6044273733
81	0.6042227559
82	0.6041124549
83	0.6039647461
84	0.6037077366
85	0.6035119972
86	0.603389668
87	0.6031483232
88	0.603107581
89	0.6028317166
90	0.6024634884
91	0.6022478887
92	0.6020537978
93	0.6019093931
94	0.6016935249
95	0.6015452226
96	0.6013899839
97	0.6012000952
98	0.6009393783
99	0.6008704165
100	0.6006900764
101	0.6005020539
102	0.6003670038
103	0.6002216693
104	0.6000936688
105	0.5998790387
106	0.5997858673
107	0.599664944
108	0.5995829503
109	0.599374804
110	0.5992099818
111	0.5990513813
112	0.5990407371
113	0.5989197149
114	0.5988227826
115	0.5986659811
116	0.5984924606
117	0.5982380984
118	0.5980706718
119	0.5977801251
120	0.5976174844
121	0.5974372438
122	0.5973135968
123	0.5972245137
124	0.5970800212
125	0.5969934214
126	0.5968696848
127	0.5966349256
128	0.5965013027
129	0.5963436675
130	0.5962303525
131	0.5961777978
132	0.5959927289
133	0.5958837661
134	0.5956431456
135	0.5955457209
136	0.5954426195
137	0.5953799723
138	0.5952716448
139	0.5951287026
140	0.5949891256
141	0.594907773
142	0.5948153481
143	0.5947441562
144	0.5945656496
145	0.5944145391
146	0.5943728177
147	0.5943190838
148	0.594234519
149	0.5940582122
150	0.5939568874
151	0.593860999
152	0.593766373
153	0.5936051206
154	0.593449022
155	0.5933660839
156	0.5932797521
157	0.593181818
158	0.5931326917
159	0.5930292633
160	0.5929556881
161	0.5928818251
162	0.5927837395
163	0.5926040819
164	0.5925721641
165	0.5924839643
166	0.592354576
167	0.5922809903
168	0.5921637822
169	0.5920377877
170	0.5919114968
171	0.59182795
172	0.5916543046
173	0.591515069
174	0.5913531454
175	0.5912563036
176	0.5911460521
177	0.5911084361
178	0.5909773375
179	0.590733422
180	0.5906392575
181	0.590507151
182	0.5904324848
183	0.5902317254
184	0.5902169045
185	0.5902043023
186	0.5900942572
187	0.5899993131
188	0.5899448696
189	0.5898528168
190	0.5897605313
191	0.5896843431
192	0.5895693408
193	0.5894980994
194	0.5894956075
195	0.58941033
196	0.5892846026
197	0.5892344197
198	0.5890695768
199	0.5889742474
200	0.5888369661
201	0.5887120521
202	0.5886491179
203	0.5884931471
204	0.5884204416
205	0.5883552361
206	0.588309695
207	0.5882246819
208	0.5881698436
209	0.5880602644
210	0.5879969011
211	0.5878237589
212	0.5876817607
213	0.5876178817
214	0.5875433986
215	0.587436744
